CODIGO,DISTRITO,DEPARTAMENTO,MUNICIPIO,ESTABLECIMIENTO,DIRECCION,TELEFONO,SUPERVISOR,DIRECTOR,NIVEL,SECTOR,AREA,STATUS,MODALIDAD,JORNADA,PLAN,DEPARTAMENTAL,ARCHIVO_ORIGEN,ESTABLECIMIENTO_LIMPIO,DIRECCION_LIMPIA,TELEFONO_LIMPIO,DIRECTOR_LIMPIO,SUPERVISOR_LIMPIO,MUNICIPIO_LIMPIO,AREA_LIMPIO,SECTOR_LIMPIO,MODALIDAD_LIMPIO,JORNADA_LIMPIO,PLAN_LIMPIO
20-01-0024-46,20-001,CHIQUIMULA,CHIQUIMULA,ESCUELA DE CIENCIAS COMERCIALES NOCTURNA,10A. AVENIDA 3-71 ZONA 1,79422150.0,CESAR ADALBERTO NOGUERA JACOME,HɃTOR ALIDIO CERON BRENES,DIVERSIFICADO,OFICIAL,URBANA,ABIERTA,MONOLINGUE,NOCTURNA,DIARIO(REGULAR),CHIQUIMULA,chiquimula,ESCUELA DE CIENCIAS COMERCIALES NOCTURNA,10A. AVENIDA 3-71 ZONA 1,79422150,HɃTOR ALIDIO CERON BRENES,CESAR ADALBERTO NOGUERA JACOME,CHIQUIMULA,URBANA,OFICIAL,MONOLINGUE,NOCTURNA,DIARIO(REGULAR)
20-01-0029-46,20-001,CHIQUIMULA,CHIQUIMULA,INSTITUTO DIVERSIFICADO ADS. AL INEB 'DR. DAVID GUERRA GUZMAN',2A CALLE ENTRE 11 Y 12 AVENIDAS ZONA 1,79420395.0,CESAR ADALBERTO NOGUERA JACOME,ROMEO RIVERA CHACӎ,DIVERSIFICADO,OFICIAL,URBANA,ABIERTA,MONOLINGUE,VESPERTINA,DIARIO(REGULAR),CHIQUIMULA,chiquimula,INSTITUTO DIVERSIFICADO ADS. AL INEB DR. DAVID GUERRA GUZMAN,2A CALLE ENTRE 11 Y 12 AVENIDAS ZONA 1,79420395,ROMEO RIVERA CHACӍ,CESAR ADALBERTO NOGUERA JACOME,CHIQUIMULA,URBANA,OFICIAL,MONOLINGUE,VESPERTINA,DIARIO(REGULAR)
20-01-0030-46,20-001,CHIQUIMULA,CHIQUIMULA,ESCUELA NACIONAL DE MAESTROS DE EDUCACION MUSICAL PEM OSCAR AUGUSTO MATEO MORALES,2A CALLE Y 12 AVENIDA ZONA 1,41942927.0,CESAR ADALBERTO NOGUERA JACOME,JOSɠVICENTE REYES SOL͓,DIVERSIFICADO,OFICIAL,URBANA,ABIERTA,MONOLINGUE,NOCTURNA,DIARIO(REGULAR),CHIQUIMULA,chiquimula,ESCUELA NACIONAL DE MAESTROS DE EDUCACION MUSICAL PEM OSCAR AUGUSTO MATEO MORALES,2A CALLE Y 12 AVENIDA ZONA 1,41942927,JOSƓVICENTE REYES SOL,CESAR ADALBERTO NOGUERA JACOME,CHIQUIMULA,URBANA,OFICIAL,MONOLINGUE,NOCTURNA,DIARIO(REGULAR)
20-01-0031-46,20-024,CHIQUIMULA,CHIQUIMULA,ESCUELA SECUNDARIA PRIVADA MIXTA DE ORIENTE -ESDEO-,2A CALLE 4-40 ZONA 1,79420290.0,SILVIA MARILENA BUEZO MARTINEZ,ERWIN LEONEL COLINDRES MONROY,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,VESPERTINA,DIARIO(REGULAR),CHIQUIMULA,chiquimula,ESCUELA SECUNDARIA PRIVADA MIXTA DE ORIENTE -ESDEO-,2A CALLE 4-40 ZONA 1,79420290,ERWIN LEONEL COLINDRES MONROY,SILVIA MARILENA BUEZO MARTINEZ,CHIQUIMULA,URBANA,PRIVADO,MONOLINGUE,VESPERTINA,DIARIO(REGULAR)
20-01-0032-46,20-024,CHIQUIMULA,CHIQUIMULA,"COLEGIO EVANGɌICO MIXTO ""AMIGOS""",10MA AVENIDA 5-38 ZONA 1,79420116.0,SILVIA MARILENA BUEZO MARTINEZ,ROXANA LISBETH URRUTIA PINTO,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,VESPERTINA,DIARIO(REGULAR),CHIQUIMULA,chiquimula,COLEGIO EVANGɌICO MIXTO AMIGOS,10MA AVENIDA 5-38 ZONA 1,79420116,ROXANA LISBETH URRUTIA PINTO,SILVIA MARILENA BUEZO MARTINEZ,CHIQUIMULA,URBANA,PRIVADO,MONOLINGUE,VESPERTINA,DIARIO(REGULAR)
20-01-0033-46,20-027,CHIQUIMULA,CHIQUIMULA,INSTITUTO TECNOLOGICO PRIVADO DE ORIENTE,4TA. AVENIDA 4-20 ZONA 1,79425959.0,SILVIA MARILENA BUEZO MARTINEZ,SALOMON ELIASIB ALVAREZ CORDӎ,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,DOBLE,DIARIO(REGULAR),CHIQUIMULA,chiquimula,INSTITUTO TECNOLӇICO PRIVADO DE OCCIDENTE,4TA. AVENIDA 4-20 ZONA 1,79425959,SALOMON ELIASIB ALVAREZ CORDӍ,SILVIA MARILENA BUEZO MARTINEZ,CHIQUIMULA,URBANA,PRIVADO,MONOLINGUE,DOBLE,DIARIO(REGULAR)
20-01-0034-46,20-001,CHIQUIMULA,CHIQUIMULA,INSTITUTO NORMAL PARA SEяRITAS DE ORIENTE,4A. CALLE 6-00 ZONA 1,59799216.0,CESAR ADALBERTO NOGUERA JACOME,MIRNA ELIZABETH QUIROA LӐEZ,DIVERSIFICADO,OFICIAL,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),CHIQUIMULA,chiquimula,INSTITUTO NORMAL PARA VARONES DE ORIENTE,4A. CALLE 6-00 ZONA 1,59799216,MIRNA ELIZABETH QUIROA LӐEZ,CESAR ADALBERTO NOGUERA JACOME,CHIQUIMULA,URBANA,OFICIAL,MONOLINGUE,MATUTINA,DIARIO(REGULAR)
20-01-0036-46,20-001,CHIQUIMULA,CHIQUIMULA,INSTITUTO NORMAL PARA VARONES DE ORIENTE,6A AVE. 4-10 ZONA 1,79420425.0,CESAR ADALBERTO NOGUERA JACOME,BALVINO CHACӎ PɒEZ,DIVERSIFICADO,OFICIAL,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),CHIQUIMULA,chiquimula,INSTITUTO NORMAL PARA VARONES DE ORIENTE,6A AVENIDA. 4-10 ZONA 1,79420425,BALVINO CHACӍ PⱰEZ,CESAR ADALBERTO NOGUERA JACOME,CHIQUIMULA,URBANA,OFICIAL,MONOLINGUE,MATUTINA,DIARIO(REGULAR)
20-01-0038-46,20-027,CHIQUIMULA,CHIQUIMULA,"""LICEO LA SALLE""",6A CALLE 3-61 ZONA 1,79420328.0,SILVIA MARILENA BUEZO MARTINEZ,JUAN MODESTO SICAY TӃ,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),CHIQUIMULA,chiquimula,LICEO LA SALLE,6A CALLE 3-61 ZONA 1,79420328,JUAN MODESTO SICAY TӃ,SILVIA MARILENA BUEZO MARTINEZ,CHIQUIMULA,URBANA,PRIVADO,MONOLINGUE,MATUTINA,DIARIO(REGULAR)
20-01-0040-46,20-024,CHIQUIMULA,CHIQUIMULA,COLEGIO PRIVADO MIXTO 'SAGRADA FAMILIA',6A AVE. 5-68 ZONA 1,79420232.0,SILVIA MARILENA BUEZO MARTINEZ,DMARYS JUDITH D́Z TEJADA,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),CHIQUIMULA,chiquimula,COLEGIO PARTICULAR MIXTO LA SAGRADA FAMILIA,6A AVENIDA. 5-68 ZONA 1,79420232,DMARYS JUDITH DZ TEJADA,SILVIA MARILENA BUEZO MARTINEZ,CHIQUIMULA,URBANA,PRIVADO,MONOLINGUE,MATUTINA,DIARIO(REGULAR)
