CODIGO,DISTRITO,DEPARTAMENTO,MUNICIPIO,ESTABLECIMIENTO,DIRECCION,TELEFONO,SUPERVISOR,DIRECTOR,NIVEL,SECTOR,AREA,STATUS,MODALIDAD,JORNADA,PLAN,DEPARTAMENTAL,ARCHIVO_ORIGEN,ESTABLECIMIENTO_LIMPIO,DIRECCION_LIMPIA,TELEFONO_LIMPIO,DIRECTOR_LIMPIO,SUPERVISOR_LIMPIO,MUNICIPIO_LIMPIO,AREA_LIMPIO,SECTOR_LIMPIO,MODALIDAD_LIMPIO,JORNADA_LIMPIO,PLAN_LIMPIO
09-01-0241-46,09-005,QUETZALTENANGO,QUETZALTENANGO,INSTITUTO NACIONAL DE EDUCACION DIVERSIFICADA ORO VERDE,"11 CALLE 0-98 ZONA 6, CANTON CHOQUI",47454734,JUAN CARLOS RONQUILLO DE LEON,GIOVANNI GUADALUPE GARĆ COLOP,DIVERSIFICADO,OFICIAL,RURAL,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),QUETZALTENANGO,quetzaltenango,INSTITUTO NACIONAL DE EDUCACIӍ DIVERSIFICADA POR MADUREZ,"11 CALLE 0-98 ZONA 6, CANTON CHOQUI",47454734,GIOVANNI GUADALUPE GARC COLOP,JUAN CARLOS RONQUILLO DE LEON,QUETZALTENANGO,RURAL,OFICIAL,MONOLINGUE,MATUTINA,DIARIO(REGULAR)
09-01-0244-46,09-006,QUETZALTENANGO,QUETZALTENANGO,COLEGIO TECNICO PEDRO JOSE DE BETANCOURTH,16 AVENIDA 2-17 ZONA 1,77654316,PEDRO GERӎIMO SARAT CHAJ,GLADYS FABIOLA TOC POP|/td>,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,VESPERTINA,DIARIO(REGULAR),QUETZALTENANGO,quetzaltenango,COLEGIO TECNICO PEDRO JOSE DE BETANCOURTH,16 AVENIDA 2-17 ZONA 1,77654316,GLADYS FABIOLA TOC POPTD,PEDRO GERӍIMO SARAT CHAJ,QUETZALTENANGO,URBANA,PRIVADO,MONOLINGUE,VESPERTINA,DIARIO(REGULAR)
09-01-0262-46,09-041,QUETZALTENANGO,QUETZALTENANGO,"COLEGIO PRIVADO ""AVANCES""",16 AVENIDA 3-55 ZONA 1 CIUDAD DE QUETZALTENANGO,77651976,WILSON RANFERI SIGUENZA LOPEZ,CLELIA ISABEL DE LEӎ MALDONADO,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,VESPERTINA,DIARIO(REGULAR),QUETZALTENANGO,quetzaltenango,COLEGIO PRIVADO AVANCES,16 AVENIDA 3-55 ZONA 1 CIUDAD DE QUETZALTENANGO,77651976,CLELIA ISABEL DE LEӍ MALDONADO,WILSON RANFERI SIGUENZA LOPEZ,QUETZALTENANGO,URBANA,PRIVADO,MONOLINGUE,VESPERTINA,DIARIO(REGULAR)
09-01-0266-46,09-002,QUETZALTENANGO,QUETZALTENANGO,COLEGIO CIENTIFICO Y TECNOLOGICO ALFREDO NOBEL,"20 AVENIDA 0-23 ZONA 1,",77631473,ROSEMERY GUADALUPE PIEDRASANTA GRAMAJO DE SIGUENZA,HILDA MAGNOLIA GRAMAJO OVALLE,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,VESPERTINA,DIARIO(REGULAR),QUETZALTENANGO,quetzaltenango,COLEGIO CIENTIFICO Y TECNOLOGICO ALFREDO NOBEL,"20 AVENIDA 0-23 ZONA 1,",77631473,HILDA MAGNOLIA GRAMAJO OVALLE,ROSEMERY GUADALUPE PIEDRASANTA GRAMAJO DE SIGUENZA,QUETZALTENANGO,URBANA,PRIVADO,MONOLINGUE,VESPERTINA,DIARIO(REGULAR)
09-01-0281-46,09-041,QUETZALTENANGO,QUETZALTENANGO,COLEGIO DE INVESTIGACION CIENTIFICA INTEGRAL -CICI-,2DA. CALLE 2-06 ZONA 7,77682442,WILSON RANFERI SIGUENZA LOPEZ,JOSɠFLORENCIO SAPӎ TAX,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,VESPERTINA,DIARIO(REGULAR),QUETZALTENANGO,quetzaltenango,COLEGIO DE INVESTIGACION CIENTIFICA INTEGRAL -CICI-,2DA. CALLE 2-06 ZONA 7,77682442,JOSƓFLORENCIO SAPӍ TAX,WILSON RANFERI SIGUENZA LOPEZ,QUETZALTENANGO,URBANA,PRIVADO,MONOLINGUE,VESPERTINA,DIARIO(REGULAR)
09-01-0285-46,09-005,QUETZALTENANGO,QUETZALTENANGO,COLEGIO JOHN HARVARD,4TA. CALLE 16-33 ZONA 1,53438116,JUAN CARLOS RONQUILLO DE LEON,DANCI SUCELY CHVEZ GUZMN,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,VESPERTINA,DIARIO(REGULAR),QUETZALTENANGO,quetzaltenango,COLEGIO JOHN HARVARD,4TA. CALLE 16-33 ZONA 1,53438116,DANCI SUCELY CHVEZ GUZMN,JUAN CARLOS RONQUILLO DE LEON,QUETZALTENANGO,URBANA,PRIVADO,MONOLINGUE,VESPERTINA,DIARIO(REGULAR)
09-01-0288-46,09-005,QUETZALTENANGO,QUETZALTENANGO,COLEGIO JOHN HARVARD,4TA. CALLE 16-33 ZONA 1,53438116,JUAN CARLOS RONQUILLO DE LEON,DANCI SUCELY CHVEZ GUZMN,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,DOBLE,FIN DE SEMANA,QUETZALTENANGO,quetzaltenango,COLEGIO JOHN HARVARD,4TA. CALLE 16-33 ZONA 1,53438116,DANCI SUCELY CHVEZ GUZMN,JUAN CARLOS RONQUILLO DE LEON,QUETZALTENANGO,URBANA,PRIVADO,MONOLINGUE,DOBLE,FIN DE SEMANA
09-01-0295-46,09-041,QUETZALTENANGO,QUETZALTENANGO,COLEGIO PRIVADO MIXTO GANDHI,DIAGONAL 3 36-89 ZONA 8,77673055,WILSON RANFERI SIGUENZA LOPEZ,JUAN LUIS LӐEZ MARIN,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,NOCTURNA,DIARIO(REGULAR),QUETZALTENANGO,quetzaltenango,COLEGIO PRIVADO MIXTO PAMAXN,DIAGONAL 3 36-89 ZONA 8,77673055,JUAN LUIS LӐEZ MARIN,WILSON RANFERI SIGUENZA LOPEZ,QUETZALTENANGO,URBANA,PRIVADO,MONOLINGUE,NOCTURNA,DIARIO(REGULAR)
09-01-0297-46,09-001,QUETZALTENANGO,QUETZALTENANGO,COLEGIO JOHN HARVARD,4TA. CALLE 16-33 ZONA 1,53438116,IRIS ONDINA HERNANDEZ ROJAS DE SOTO,DANCI SUCELY CHVEZ GUZMN,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,DOBLE,FIN DE SEMANA,QUETZALTENANGO,quetzaltenango,COLEGIO JOHN HARVARD,4TA. CALLE 16-33 ZONA 1,53438116,DANCI SUCELY CHVEZ GUZMN,IRIS ONDINA HERNANDEZ ROJAS DE SOTO,QUETZALTENANGO,URBANA,PRIVADO,MONOLINGUE,DOBLE,FIN DE SEMANA
09-01-0299-46,09-006,QUETZALTENANGO,QUETZALTENANGO,COLEGIO PRIVADO URBANO MIXTO CRISTO CENTRO,8A. AVENIDA 2-39 ZONA 1,53181442,PEDRO GERӎIMO SARAT CHAJ,GIOVANNI GUADALUPE GARĆ COLOP,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,VESPERTINA,DIARIO(REGULAR),QUETZALTENANGO,quetzaltenango,COLEGIO PRIVADO URBANO MIXTO CRISTO CENTRO,8A. AVENIDA 2-39 ZONA 1,53181442,GIOVANNI GUADALUPE GARC COLOP,PEDRO GERӍIMO SARAT CHAJ,QUETZALTENANGO,URBANA,PRIVADO,MONOLINGUE,VESPERTINA,DIARIO(REGULAR)
09-01-0301-46,09-002,QUETZALTENANGO,QUETZALTENANGO,INSTITUTO PRIVADO DE CIENCIA Y TECNOLOGIA QUETZALTENANGO,3RA. CALLE 20-21 ZONA 3,77615924,ROSEMERY GUADALUPE PIEDRASANTA GRAMAJO DE SIGUENZA,ARNOLDO DE JESUS DEL AGUILA ALONZO,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),QUETZALTENANGO,quetzaltenango,INSTITUTO PRIVADO DE CIENCIA Y TECNOLOGIA QUETZALTENANGO,3RA. CALLE 20-21 ZONA 3,77615924,ARNOLDO DE JESUS DEL AGUILA ALONZO,ROSEMERY GUADALUPE PIEDRASANTA GRAMAJO DE SIGUENZA,QUETZALTENANGO,URBANA,PRIVADO,MONOLINGUE,MATUTINA,DIARIO(REGULAR)
09-01-0304-46,09-036,QUETZALTENANGO,QUETZALTENANGO,COLEGIO TECNICO EMPRESARIAL INTEGRAL SUPERIOR DE LOS ALTOS -CTEISA-,"CANTON XECARACOJ, TIERRA COLORADA BAJA",77650630,OBDULIO ROLANDO RUIZ ALVA,ELVIN EZEQUIAS ALONZO PɒEZ,DIVERSIFICADO,PRIVADO,RURAL,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),QUETZALTENANGO,quetzaltenango,COLEGIO TECNICO EMPRESARIAL INTEGRAL SUPERIOR DE LOS ALTOS -CTEISA-,"CANTON XECARACOJ, TIERRA COLORADA BAJA",77650630,ELVIN EZEQUIAS ALONZO PⱰEZ,OBDULIO ROLANDO RUIZ ALVA,QUETZALTENANGO,RURAL,PRIVADO,MONOLINGUE,MATUTINA,DIARIO(REGULAR)
09-01-0307-46,09-036,QUETZALTENANGO,QUETZALTENANGO,CENTRO EDUCATIVO NUEVA CANCION -CENC-,8TA. CALLE 17-71 ZONA 3,77651390,OBDULIO ROLANDO RUIZ ALVA,SOF́ DEL ROSARIO ALVAREZ GONZLEZ,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),QUETZALTENANGO,quetzaltenango,CENTRO EDUCATIVO NUEVA CANCION -CENC-,8TA. CALLE 17-71 ZONA 3,77651390,SOF DEL ROSARIO ALVAREZ GONZLEZ,OBDULIO ROLANDO RUIZ ALVA,QUETZALTENANGO,URBANA,PRIVADO,MONOLINGUE,MATUTINA,DIARIO(REGULAR)
09-01-0309-46,09-041,QUETZALTENANGO,QUETZALTENANGO,COLEGIO INTERNACIONAL RACKSSON,29 AVENIDA 6TA. CALLE B26-28 ZONA 7,53938625,WILSON RANFERI SIGUENZA LOPEZ,KARLA MARIA LOPEZ QUEME,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,VESPERTINA,DIARIO(REGULAR),QUETZALTENANGO,quetzaltenango,COLEGIO INTERNACIONAL RACKSSON,29 AVENIDA 6TA. CALLE B26-28 ZONA 7,53938625,KARLA MARIA LOPEZ QUEME,WILSON RANFERI SIGUENZA LOPEZ,QUETZALTENANGO,URBANA,PRIVADO,MONOLINGUE,VESPERTINA,DIARIO(REGULAR)
09-01-0317-46,09-002,QUETZALTENANGO,QUETZALTENANGO,COLEGIO AMERICANO DE OCCIDENTE (WEST AMERICAN SCHOOL),9A. CALLE 24-35 ZONA 3,30797058,ROSEMERY GUADALUPE PIEDRASANTA GRAMAJO DE SIGUENZA,CARLOS PETER FUENTES CHAVEZ,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),QUETZALTENANGO,quetzaltenango,COLEGIO AMERICANO DE OCCIDENTE (WEST AMERICAN SCHOOL),9A. CALLE 24-35 ZONA 3,30797058,CARLOS PETER FUENTES CHAVEZ,ROSEMERY GUADALUPE PIEDRASANTA GRAMAJO DE SIGUENZA,QUETZALTENANGO,URBANA,PRIVADO,MONOLINGUE,MATUTINA,DIARIO(REGULAR)
09-01-0318-46,09-041,QUETZALTENANGO,QUETZALTENANGO,COLEGIO INTERNACIONAL RACKSSON,29 AVENIDA 6TA. CALLE B26-28 ZONA 7,53938625,WILSON RANFERI SIGUENZA LOPEZ,KARLA MARIA LOPEZ QUEME,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),QUETZALTENANGO,quetzaltenango,COLEGIO INTERNACIONAL RACKSSON,29 AVENIDA 6TA. CALLE B26-28 ZONA 7,53938625,KARLA MARIA LOPEZ QUEME,WILSON RANFERI SIGUENZA LOPEZ,QUETZALTENANGO,URBANA,PRIVADO,MONOLINGUE,MATUTINA,DIARIO(REGULAR)
09-01-0325-46,09-002,QUETZALTENANGO,QUETZALTENANGO,COLEGIO CRISTIANO VERBO,CALLE CIRILO FLORES 4-37 ZONA 1,77631051,ROSEMERY GUADALUPE PIEDRASANTA GRAMAJO DE SIGUENZA,SMIRNA ELIZABETH SOSA RAMOS,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),QUETZALTENANGO,quetzaltenango,COLEGIO CRISTIANO VERBO,CALLE CIRILO FLORES 4-37 ZONA 1,77631051,SMIRNA ELIZABETH SOSA RAMOS,ROSEMERY GUADALUPE PIEDRASANTA GRAMAJO DE SIGUENZA,QUETZALTENANGO,URBANA,PRIVADO,MONOLINGUE,MATUTINA,DIARIO(REGULAR)
09-01-0326-46,09-004,QUETZALTENANGO,QUETZALTENANGO,COLEGIO CONTINENTAL,23 AV. 7-08 ZONA 7 COLONIA SAN ANTONIO,77673284,DINA RUBI GONZALEZ DE LEON,SANDY YOMARA ROSALES CASTILLO,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),QUETZALTENANGO,quetzaltenango,COLEGIO CONTINENTAL,23 AVENIDA. 7-08 ZONA 7 COLONIA SAN ANTONIO,77673284,SANDY YOMARA ROSALES CASTILLO,DINA RUBI GONZALEZ DE LEON,QUETZALTENANGO,URBANA,PRIVADO,MONOLINGUE,MATUTINA,DIARIO(REGULAR)
09-01-0331-46,09-002,QUETZALTENANGO,QUETZALTENANGO,ESCUELA PRIVADA MIXTA DE FORMACION ART͓TICA QUETZALTENANGO,11 CALLE 19-19 ZONA 1 QUETZALTENANGO,77630803,ROSEMERY GUADALUPE PIEDRASANTA GRAMAJO DE SIGUENZA,ROSALIO EDUARDO SAC RACANCOJ,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,DOBLE,DIARIO(REGULAR),QUETZALTENANGO,quetzaltenango,ESCUELA PRIVADA MIXTA DE FORMACION ARTTICA QUETZALTENANGO,11 CALLE 19-19 ZONA 1 QUETZALTENANGO,77630803,ROSALIO EDUARDO SAC RACANCOJ,ROSEMERY GUADALUPE PIEDRASANTA GRAMAJO DE SIGUENZA,QUETZALTENANGO,URBANA,PRIVADO,MONOLINGUE,DOBLE,DIARIO(REGULAR)
09-01-0334-46,09-006,QUETZALTENANGO,QUETZALTENANGO,"COLEGIO PRIVADO ""BELLAS ARTES""",11 CALLE 9-79 ZONA 1 QUETZALTENANGO,77683473,PEDRO GERӎIMO SARAT CHAJ,FRANCISCO ROMN BETHANCOURT MALDONADO,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),QUETZALTENANGO,quetzaltenango,COLEGIO PRIVADO BELLAS ARTES,11 CALLE 9-79 ZONA 1 QUETZALTENANGO,77683473,FRANCISCO ROMN BETHANCOURT MALDONADO,PEDRO GERӍIMO SARAT CHAJ,QUETZALTENANGO,URBANA,PRIVADO,MONOLINGUE,MATUTINA,DIARIO(REGULAR)
09-01-0336-46,09-006,QUETZALTENANGO,QUETZALTENANGO,"COLEGIO PRIVADO MIXTO ""JUAN JACOBO ROUSSEAU""","26 AVENIDA 4-21 ZONA 7 COLONIA SAN ANTONIO, QUETZALTENANGO",77669112,PEDRO GERӎIMO SARAT CHAJ,MARLENI AUDELI MEJ́ QUIJIVIX,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),QUETZALTENANGO,quetzaltenango,COLEGIO PRIVADO MIXTO JUAN JACOBO ROUSSEAU,"26 AVENIDA 4-21 ZONA 7 COLONIA SAN ANTONIO, QUETZALTENANGO",77669112,MARLENI AUDELI MEJ QUIJIVIX,PEDRO GERӍIMO SARAT CHAJ,QUETZALTENANGO,URBANA,PRIVADO,MONOLINGUE,MATUTINA,DIARIO(REGULAR)
09-01-0337-46,09-006,QUETZALTENANGO,QUETZALTENANGO,"COLEGIO PRIVADO MIXTO ""JUAN JACOBO ROUSSEAU""","26 AVENIDA 4-21 ZONA 7 COLONIA SAN ANTONIO, QUETZALTENANGO",77669112,PEDRO GERӎIMO SARAT CHAJ,MARLENI AUDELI MEJ́ QUIJIVIX,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),QUETZALTENANGO,quetzaltenango,COLEGIO PRIVADO MIXTO JUAN JACOBO ROUSSEAU,"26 AVENIDA 4-21 ZONA 7 COLONIA SAN ANTONIO, QUETZALTENANGO",77669112,MARLENI AUDELI MEJ QUIJIVIX,PEDRO GERӍIMO SARAT CHAJ,QUETZALTENANGO,URBANA,PRIVADO,MONOLINGUE,MATUTINA,DIARIO(REGULAR)
09-01-0339-46,09-006,QUETZALTENANGO,QUETZALTENANGO,COLEGIO ADVENTISTA MOISɓ TAHAY,"20 AVENIDA 0-65 ZONA 3, QUETZALTENANGO",77615808,PEDRO GERӎIMO SARAT CHAJ,MAYRA MARISOL VILLEDA MOSCOSO,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),QUETZALTENANGO,quetzaltenango,COLEGIO ADVENTISTA MOISƁ TAHAY,"20 AVENIDA 0-65 ZONA 3, QUETZALTENANGO",77615808,MAYRA MARISOL VILLEDA MOSCOSO,PEDRO GERӍIMO SARAT CHAJ,QUETZALTENANGO,URBANA,PRIVADO,MONOLINGUE,MATUTINA,DIARIO(REGULAR)
09-01-0351-46,09-006,QUETZALTENANGO,QUETZALTENANGO,INSTITUTO DE ESTUDIOS AVANZADOS (I. E. A.) CAMPUS LOS ALTOS,10 CALLE 4-49 ZONA 12,77930232,PEDRO GERӎIMO SARAT CHAJ,RITA SUSANA RAMIREZ BLANCO,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),QUETZALTENANGO,quetzaltenango,INSTITUTO DE ESTUDIOS AVANZADOS (I. E. A.) CAMPUS LOS ALTOS,10 CALLE 4-49 ZONA 12,77930232,RITA SUSANA RAMIREZ BLANCO,PEDRO GERӍIMO SARAT CHAJ,QUETZALTENANGO,URBANA,PRIVADO,MONOLINGUE,MATUTINA,DIARIO(REGULAR)
