CODIGO,DISTRITO,DEPARTAMENTO,MUNICIPIO,ESTABLECIMIENTO,DIRECCION,TELEFONO,SUPERVISOR,DIRECTOR,NIVEL,SECTOR,AREA,STATUS,MODALIDAD,JORNADA,PLAN,DEPARTAMENTAL,ARCHIVO_ORIGEN,ESTABLECIMIENTO_LIMPIO,DIRECCION_LIMPIA,TELEFONO_LIMPIO,DIRECTOR_LIMPIO,SUPERVISOR_LIMPIO,MUNICIPIO_LIMPIO,AREA_LIMPIO,SECTOR_LIMPIO,MODALIDAD_LIMPIO,JORNADA_LIMPIO,PLAN_LIMPIO
05-02-0091-46,05-007,ESCUINTLA,SANTA LUCIA COTZUMALGUAPA,COLEGIO PARTICULAR MIXTO SAGRADO CORAZӎ,"4TA. AVENIDA NORTE 1RA. CALLE ""A"" LOTIFICACIӎ EL BILBAO.",77746400,JUAN FRANCISCO GODOY DAVILA,MAŔ DOLORES PɒEZ TUCHN,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),ESCUINTLA,escuintla,COLEGIO PARTICULAR MIXTO SAGRADO CORAZӍ,4TA. AVENIDA NORTE 1RA. CALLE A LOTIFICACIӍ EL BILBAO.,77746400,MAR DOLORES PⱰEZ TUCHN,JUAN FRANCISCO GODOY DAVILA,SANTA LUCIA COTZUMALGUAPA,URBANA,PRIVADO,MONOLINGUE,MATUTINA,DIARIO(REGULAR)
05-02-0092-46,05-007,ESCUINTLA,SANTA LUCIA COTZUMALGUAPA,COLEGIO PARTICULAR MIXTO SAGRADO CORAZӎ,"4TA. AVENIDA NORTE 1RA. CALLE ""A"" LOTIFICACIӎ EL BILBAO.",77746400,JUAN FRANCISCO GODOY DAVILA,MAŔ DOLORES PɒEZ TUCHN,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),ESCUINTLA,escuintla,COLEGIO PARTICULAR MIXTO SAGRADO CORAZӍ,4TA. AVENIDA NORTE 1RA. CALLE A LOTIFICACIӍ EL BILBAO.,77746400,MAR DOLORES PⱰEZ TUCHN,JUAN FRANCISCO GODOY DAVILA,SANTA LUCIA COTZUMALGUAPA,URBANA,PRIVADO,MONOLINGUE,MATUTINA,DIARIO(REGULAR)
05-02-0093-46,05-007,ESCUINTLA,SANTA LUCIA COTZUMALGUAPA,COLEGIO PARTICULAR MIXTO SAGRADO CORAZӎ,"4TA. AVENIDA NORTE 1RA. CALLE ""A"" LOTIFICACIӎ EL BILBAO",77746400,JUAN FRANCISCO GODOY DAVILA,MAŔ DOLORES PɒEZ TUCHN,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),ESCUINTLA,escuintla,COLEGIO PARTICULAR MIXTO SAGRADO CORAZӍ,4TA. AVENIDA NORTE 1RA. CALLE A LOTIFICACIӍ EL BILBAO,77746400,MAR DOLORES PⱰEZ TUCHN,JUAN FRANCISCO GODOY DAVILA,SANTA LUCIA COTZUMALGUAPA,URBANA,PRIVADO,MONOLINGUE,MATUTINA,DIARIO(REGULAR)
05-02-0098-46,05-007,ESCUINTLA,SANTA LUCIA COTZUMALGUAPA,COLEGIO MADRE TIERRA,KILOMETRO 93.8 RUTA CA-2 OCCIDENTE.,42761366,JUAN FRANCISCO GODOY DAVILA,MILAGRO DE MAŔ VSQUEZ OVALLE,DIVERSIFICADO,PRIVADO,RURAL,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),ESCUINTLA,escuintla,COLEGIO MADRE TIERRA,KILOMETRO 93.8 RUTA CA-2 OCCIDENTE.,42761366,MILAGRO DE MAR VSQUEZ OVALLE,JUAN FRANCISCO GODOY DAVILA,SANTA LUCIA COTZUMALGUAPA,RURAL,PRIVADO,MONOLINGUE,MATUTINA,DIARIO(REGULAR)
05-02-0108-46,05-007,ESCUINTLA,SANTA LUCIA COTZUMALGUAPA,LICEO PREUNIVERSITARIO DEL SUR.,4A. AVENIDA 2-39 ZONA 1,78821508,JUAN FRANCISCO GODOY DAVILA,CRISTIAN ALEXANDER PɒEZ GONZLEZ,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,DOBLE,DIARIO(REGULAR),ESCUINTLA,escuintla,LICEO PREUNIVERSITARIO DEL SUR.,4A. AVENIDA 2-39 ZONA 1,78821508,CRISTIAN ALEXANDER PⱰEZ GONZLEZ,JUAN FRANCISCO GODOY DAVILA,SANTA LUCIA COTZUMALGUAPA,URBANA,PRIVADO,MONOLINGUE,DOBLE,DIARIO(REGULAR)
05-02-0109-46,05-007,ESCUINTLA,SANTA LUCIA COTZUMALGUAPA,"COLEGIO PARTICULAR MIXTO ""LA ENSEсNZA""",1RA. CALLE 3-67 ZONA 1,78822044,JUAN FRANCISCO GODOY DAVILA,PABLO BENJAMIN MATEO MOREIRA,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,VESPERTINA,DIARIO(REGULAR),ESCUINTLA,escuintla,COLEGIO PRIVADO MIXTO LA ENSEСNZA,1RA. CALLE 3-67 ZONA 1,78822044,PABLO BENJAMIN MATEO MOREIRA,JUAN FRANCISCO GODOY DAVILA,SANTA LUCIA COTZUMALGUAPA,URBANA,PRIVADO,MONOLINGUE,VESPERTINA,DIARIO(REGULAR)
05-02-0110-46,05-007,ESCUINTLA,SANTA LUCIA COTZUMALGUAPA,LICEO PREUNIVERSITARIO DEL SUR.,4TA. AVENIDA 2-39 ZONA 1,78821508,JUAN FRANCISCO GODOY DAVILA,CRISTIAN ALEXANDER PɒEZ GONZLEZ,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,VESPERTINA,DIARIO(REGULAR),ESCUINTLA,escuintla,LICEO PREUNIVERSITARIO DEL SUR.,4TA. AVENIDA 2-39 ZONA 1,78821508,CRISTIAN ALEXANDER PⱰEZ GONZLEZ,JUAN FRANCISCO GODOY DAVILA,SANTA LUCIA COTZUMALGUAPA,URBANA,PRIVADO,MONOLINGUE,VESPERTINA,DIARIO(REGULAR)
05-02-0113-46,05-007,ESCUINTLA,SANTA LUCIA COTZUMALGUAPA,INSTITUTO TɃNICO DE CAPACITACIӎ Y PRODUCTIVIDAD INTECAP,KM 93 CARRETERA CA2 A MAZATENANGO,78280100,JUAN FRANCISCO GODOY DAVILA,BLANCA ROSA ARGUETA GRIJALBA,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,DOBLE,DIARIO(REGULAR),ESCUINTLA,escuintla,INSTITUTO TɃNICO DE CAPACITACIӍ Y PRODUCTIVIDAD INTECAP,KILOMETRO 93 CARRETERA CA2 A MAZATENANGO,78280100,BLANCA ROSA ARGUETA GRIJALBA,JUAN FRANCISCO GODOY DAVILA,SANTA LUCIA COTZUMALGUAPA,URBANA,PRIVADO,MONOLINGUE,DOBLE,DIARIO(REGULAR)
05-02-0118-46,05-007,ESCUINTLA,SANTA LUCIA COTZUMALGUAPA,COLEGIO CRISTIANO EMMANUEL,"1A. CALLE LOTE NO. 10 COLONIA EL BILBAO, ZONA 1",79333942,JUAN FRANCISCO GODOY DAVILA,INGRID YANETH OSORIO CAMPOS,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,VESPERTINA,DIARIO(REGULAR),ESCUINTLA,escuintla,COLEGIO CRISTIANO EMMANUEL,"1A. CALLE LOTE NUMERO. 10 COLONIA EL BILBAO, ZONA 1",79333942,INGRID YANETH OSORIO CAMPOS,JUAN FRANCISCO GODOY DAVILA,SANTA LUCIA COTZUMALGUAPA,URBANA,PRIVADO,MONOLINGUE,VESPERTINA,DIARIO(REGULAR)
05-02-0125-46,05-007,ESCUINTLA,SANTA LUCIA COTZUMALGUAPA,CENTRO EDUCATIVO INTEGRAL GLO-A-MIEL,1RA CALLE 1-95 ZONA 1,47006877,JUAN FRANCISCO GODOY DAVILA,ANA MARGARITA TANTI GONZLEZ,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,DOBLE,DIARIO(REGULAR),ESCUINTLA,escuintla,CENTRO EDUCATIVO INTEGRAL GLO-A-MIEL,1RA CALLE 1-95 ZONA 1,47006877,ANA MARGARITA TANTI GONZLEZ,JUAN FRANCISCO GODOY DAVILA,SANTA LUCIA COTZUMALGUAPA,URBANA,PRIVADO,MONOLINGUE,DOBLE,DIARIO(REGULAR)
