CODIGO,DISTRITO,DEPARTAMENTO,MUNICIPIO,ESTABLECIMIENTO,DIRECCION,TELEFONO,SUPERVISOR,DIRECTOR,NIVEL,SECTOR,AREA,STATUS,MODALIDAD,JORNADA,PLAN,DEPARTAMENTAL,ARCHIVO_ORIGEN,ESTABLECIMIENTO_LIMPIO,DIRECCION_LIMPIA,TELEFONO_LIMPIO,DIRECTOR_LIMPIO,SUPERVISOR_LIMPIO,MUNICIPIO_LIMPIO,AREA_LIMPIO,SECTOR_LIMPIO,MODALIDAD_LIMPIO,JORNADA_LIMPIO,PLAN_LIMPIO
02-01-0069-46,02-012,EL PROGRESO,GUASTATOYA,COLEGIO MIXTO INTEGRAL EL PROGRESO,COLONI A HICHOS,47406758.0,CARLOTA EUGENIA ALBUREZ AGUILAR,DELFINA MARISOL PAZOS RAMOS,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,DOBLE,FIN DE SEMANA,EL PROGRESO,el_progreso,COLEGIO MIXTO INTEGRAL EL PROGRESO,COLONI A HICHOS,47406758,DELFINA MARISOL PAZOS RAMOS,CARLOTA EUGENIA ALBUREZ AGUILAR,GUASTATOYA,URBANA,PRIVADO,MONOLINGUE,DOBLE,FIN DE SEMANA
02-01-0071-46,02-014,EL PROGRESO,GUASTATOYA,INSTITUTO DE EDUCACION MEDIA POR MADUREZ,COLONIA NUEVA VIDA,42353730.0,CARLA MARLENY ALDANA RODAS,NORA REBECA IBAхZ MORN,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,SIN JORNADA,SEMIPRESENCIAL (FIN DE SEMANA),EL PROGRESO,el_progreso,INSTITUTO DE EDUCACIӍ MEDIA POR MADUREZ,COLONIA NUEVA VIDA,42353730,NORA REBECA IBAХZ MORN,CARLA MARLENY ALDANA RODAS,GUASTATOYA,URBANA,PRIVADO,MONOLINGUE,SIN JORNADA,SEMIPRESENCIAL (FIN DE SEMANA)
02-01-0073-46,02-014,EL PROGRESO,GUASTATOYA,COLEGIO EDUCARE,BARRIO EL PROVENIR --,77648671.0,CARLA MARLENY ALDANA RODAS,HERLINDA EUNICE MORALES OLIVA,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),EL PROGRESO,el_progreso,COLEGIO EDUCARE,BARRIO EL PROVENIR --,77648671,HERLINDA EUNICE MORALES OLIVA,CARLA MARLENY ALDANA RODAS,GUASTATOYA,URBANA,PRIVADO,MONOLINGUE,MATUTINA,DIARIO(REGULAR)
02-01-0075-46,02-012,EL PROGRESO,GUASTATOYA,COLEGIO MIXTO INTEGRAL EL PROGRESO,"COLONIA HICHOS, BARRIO EL PORVENIR GUASTATOYA EL PROGRESO",47406758.0,CARLOTA EUGENIA ALBUREZ AGUILAR,DELFINA MARISOL PAZOS RAMOS,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,DOBLE,FIN DE SEMANA,EL PROGRESO,el_progreso,COLEGIO MIXTO INTEGRAL EL PROGRESO,"COLONIA HICHOS, BARRIO EL PORVENIR GUASTATOYA EL PROGRESO",47406758,DELFINA MARISOL PAZOS RAMOS,CARLOTA EUGENIA ALBUREZ AGUILAR,GUASTATOYA,URBANA,PRIVADO,MONOLINGUE,DOBLE,FIN DE SEMANA
02-01-0252-46,02-014,EL PROGRESO,GUASTATOYA,COLEGIO DE CIENCIAS COMERCIALES EL PROGRESO,BARRIO EL PORVENIR,79451265.0,CARLA MARLENY ALDANA RODAS,DANIEL LӐEZ SOL͓,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),EL PROGRESO,el_progreso,COLEGIO DE CIENCIAS COMERCIALES LAS CRUCES,BARRIO EL PORVENIR,79451265,DANIEL LӐEZ SOL,CARLA MARLENY ALDANA RODAS,GUASTATOYA,URBANA,PRIVADO,MONOLINGUE,MATUTINA,DIARIO(REGULAR)
02-01-0562-46,02-012,EL PROGRESO,GUASTATOYA,COLEGIO DE APLICACIONES INTEGRADAS GUASTATOYA,BARRIO EL PORVENIR,79450840.0,CARLOTA EUGENIA ALBUREZ AGUILAR,BRENDA AZUCENA VALIENTE ARREAGA,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),EL PROGRESO,el_progreso,COLEGIO DE APLICACIONES INTEGRADAS GUASTATOYA,BARRIO EL PORVENIR,79450840,BRENDA AZUCENA VALIENTE ARREAGA,CARLOTA EUGENIA ALBUREZ AGUILAR,GUASTATOYA,URBANA,PRIVADO,MONOLINGUE,MATUTINA,DIARIO(REGULAR)
02-01-0607-46,02-012,EL PROGRESO,GUASTATOYA,INSTITUTO DIVERSIFICADO POR COOPERATIVA,BARRIO EL PORVENIR,79452363.0,CARLOTA EUGENIA ALBUREZ AGUILAR,NINFA GRACIELA MANRIQUEZ CALDERA,DIVERSIFICADO,COOPERATIVA,URBANA,ABIERTA,MONOLINGUE,VESPERTINA,DIARIO(REGULAR),EL PROGRESO,el_progreso,INSTITUTO DIVERSIFICADO POR COOPERATIVA,BARRIO EL PORVENIR,79452363,NINFA GRACIELA MANRIQUEZ CALDERA,CARLOTA EUGENIA ALBUREZ AGUILAR,GUASTATOYA,URBANA,COOPERATIVA,MONOLINGUE,VESPERTINA,DIARIO(REGULAR)
02-01-0665-46,02-014,EL PROGRESO,GUASTATOYA,ESCUELA NORMAL DE EDUCACION FISICA,BARRIO EL PORVENIR,79451457.0,CARLA MARLENY ALDANA RODAS,WALTER OSWALDO MORALES CATALN,DIVERSIFICADO,OFICIAL,URBANA,ABIERTA,MONOLINGUE,DOBLE,DIARIO(REGULAR),EL PROGRESO,el_progreso,ESCUELA NORMAL DE EDUCACION FISICA,BARRIO EL PORVENIR,79451457,WALTER OSWALDO MORALES CATALN,CARLA MARLENY ALDANA RODAS,GUASTATOYA,URBANA,OFICIAL,MONOLINGUE,DOBLE,DIARIO(REGULAR)
02-01-0704-46,02-014,EL PROGRESO,GUASTATOYA,ESCUELA NORMAL INTERCULTURAL,BARRIO LAS JOYAS,79452399.0,CARLA MARLENY ALDANA RODAS,MAŔ MAGDALENA LӐEZ PERDOMO,DIVERSIFICADO,OFICIAL,URBANA,ABIERTA,MONOLINGUE,DOBLE,DIARIO(REGULAR),EL PROGRESO,el_progreso,ESCUELA NORMAL INTERCULTURAL,BARRIO LAS JOYAS,79452399,MAR MAGDALENA LӐEZ PERDOMO,CARLA MARLENY ALDANA RODAS,GUASTATOYA,URBANA,OFICIAL,MONOLINGUE,DOBLE,DIARIO(REGULAR)
02-02-0004-46,02-002,EL PROGRESO,MORAZAN,INSTITUTO NACIONAL DE EDUCACION DIVERSIFICADA MORAZAN,BARRIO LAS DELICIAS,30138295.0,SILVIA CONSUELO GAMARRO HERRERA DE JUAREZ,CLAUDIA NINETH ALVREZ VSQUEZ,DIVERSIFICADO,OFICIAL,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),EL PROGRESO,el_progreso,INSTITUTO NACIONAL DE EDUCACION DIVERSIFICADA,BARRIO LAS DELICIAS,30138295,CLAUDIA NINETH ALVREZ VSQUEZ,SILVIA CONSUELO GAMARRO HERRERA DE JUAREZ,MORAZAN,URBANA,OFICIAL,MONOLINGUE,MATUTINA,DIARIO(REGULAR)
