CODIGO,Unnamed: 1,DISTRITO,DEPARTAMENTO,MUNICIPIO,ESTABLECIMIENTO,DIRECCION,TELEFONO,SUPERVISOR,DIRECTOR,NIVEL,SECTOR,AREA,STATUS,MODALIDAD,JORNADA,PLAN,DEPARTAMENTAL
10-01-0059-43,,10-002,SUCHITEPEQUEZ,MAZATENANGO,EORM,"PARCELAMIENTO JAPON NACIONAL, SECTOR B",42649466,MIGUEL ANGEL VALLEJO FIGUEROA,RODOLFO PEREIRA YAC,PRIMARIA,OFICIAL,RURAL,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),SUCHITEPɑUEZ
10-01-0060-43,,10-002,SUCHITEPEQUEZ,MAZATENANGO,EORM 'EL CRISTO',ALDEA EL CRISTO,47684729,MIGUEL ANGEL VALLEJO FIGUEROA,DARLEE ELO͎A GARĆ MENDOZA,PRIMARIA,OFICIAL,RURAL,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),SUCHITEPɑUEZ
10-01-0061-43,,10-002,SUCHITEPEQUEZ,MAZATENANGO,EORM,CANTON COCALES,54644239,MIGUEL ANGEL VALLEJO FIGUEROA,ANA RAQUEL MARTINEZ LUCAS,PRIMARIA,OFICIAL,RURAL,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),SUCHITEPɑUEZ
10-01-0062-43,,10-002,SUCHITEPEQUEZ,MAZATENANGO,EORV,ALDEA SAN RAFAEL TIERRAS DEL PUEBLO,42185885,MIGUEL ANGEL VALLEJO FIGUEROA,GAUDY ROC͏ CASTAхDA CABRERA,PRIMARIA,OFICIAL,RURAL,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),SUCHITEPɑUEZ
10-01-0063-43,,10-002,SUCHITEPEQUEZ,MAZATENANGO,EORM '15 DE SEPTIEMBRE',ALDEA BRACITOS,41287868,MIGUEL ANGEL VALLEJO FIGUEROA,CLAUDIA MARINA BARRIOS DEBROY,PRIMARIA,OFICIAL,RURAL,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),SUCHITEPɑUEZ
10-01-0065-43,,10-002,SUCHITEPEQUEZ,MAZATENANGO,EPRM,HACIENDA PANCHOTE ALDEA SAN RAFAEL TIERRAS DEL PUEBLO,43412425,MIGUEL ANGEL VALLEJO FIGUEROA,EDGAR OSWALDO MEJ́ LӐEZ,PRIMARIA,PRIVADO,RURAL,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),SUCHITEPɑUEZ
10-01-0066-43,,10-002,SUCHITEPEQUEZ,MAZATENANGO,EPRM 'CENTENARIO',FINCA SAN ISIDRO,,MIGUEL ANGEL VALLEJO FIGUEROA,,PRIMARIA,PRIVADO,RURAL,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),SUCHITEPɑUEZ
10-01-0067-43,,10-002,SUCHITEPEQUEZ,MAZATENANGO,EORM,ALDEA SAN JOSE CHIMULBUA,56448557,MIGUEL ANGEL VALLEJO FIGUEROA,IRMA YOLANDA SUHUL GӍEZ,PRIMARIA,OFICIAL,RURAL,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),SUCHITEPɑUEZ
10-01-0068-44,,10-001,SUCHITEPEQUEZ,MAZATENANGO,EOPA,7A AVE. Y 8A CALLE ZONA 1,51259049,RITA ELENA GONZALEZ GARCIA,LISBETH PATRICIA CHACӎ ELGUETA,PRIMARIA DE ADULTOS,OFICIAL,URBANA,ABIERTA,MONOLINGUE,NOCTURNA,DIARIO(REGULAR),SUCHITEPɑUEZ
10-01-0069-45,,10-019,SUCHITEPEQUEZ,MAZATENANGO,INEB CON ORIENTACION OCUPACIONAL 'LIC. JULIO CESAR MENDEZ MONTENEGRO',CANTON SANTA CRISTINA ZONA 2,78720279,REYNA DEL ROSARIO CHAVEZ BARROW DE PACHECO,CLAUDIA LORENA MARTINEZ RECINOS DE CAMEY,BASICO,OFICIAL,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),SUCHITEPɑUEZ
