CODIGO,Unnamed: 1,DISTRITO,DEPARTAMENTO,MUNICIPIO,ESTABLECIMIENTO,DIRECCION,TELEFONO,SUPERVISOR,DIRECTOR,NIVEL,SECTOR,AREA,STATUS,MODALIDAD,JORNADA,PLAN,DEPARTAMENTAL
04-01-0252-46,,04-029,CHIMALTENANGO,CHIMALTENANGO,CENTRO DE EDUCACIӎ EXTRAESCOLAR -CEEX- SABIDUŔ,1A. CALLE 9-120 ZONA 3,56348054,MARCO TULIO AJQUEJAY PICHIYA,INGRID ELIZABETH SAC HERNANDEZ,DIVERSIFICADO,MUNICIPAL,URBANA,ABIERTA,MONOLINGUE,DOBLE,FIN DE SEMANA,CHIMALTENANGO
04-01-0253-46,,04-028,CHIMALTENANGO,CHIMALTENANGO,"ESCUELA NORMAL BILING܅ INTERCULTURAL ""RUK'U'X WAQXAQI' Q'ANIL"" (ESENCIA DE LAS OCHO SEMILLAS)",1A. AVENIDA 1-251 LA ALAMEDA ZONA 9,78394039,ISMAEL CRISTAL AJCET,ELADIO MIZA CHALͼ/td>,DIVERSIFICADO,OFICIAL,URBANA,ABIERTA,BILINGUE,MATUTINA,DIARIO(REGULAR),CHIMALTENANGO
04-01-0260-46,,04-003,CHIMALTENANGO,CHIMALTENANGO,"COLEGIO EVANGɌICO BILING܅ ""ESCORBN""",1A. CALLE 14-274 ALDEA SANTA ISABEL ZONA 6,32608557,EDNA NOHELIA PɒEZ TOJ DE LӐEZ,LIC. CARLOS HUMBERTO CABRERA OVALLE,DIVERSIFICADO,PRIVADO,RURAL,ABIERTA,MONOLINGUE,VESPERTINA,DIARIO(REGULAR),CHIMALTENANGO
04-01-0261-46,,04-001,CHIMALTENANGO,CHIMALTENANGO,LICEO CRISTIANO HISPANOAMERICANO,3A. AVENIDA 1-64 ZONA 2,78395647,ABIMAEL ACUTA ABAJ,DEAN SALOMӎ ORTIZ ESTRADA,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,DOBLE,FIN DE SEMANA,CHIMALTENANGO
04-01-0262-46,,04-001,CHIMALTENANGO,CHIMALTENANGO,LICEO CRISTIANO HISPANOAMERICANO,3A. AVENIDA 1-64 ZONA 2,78395647,ABIMAEL ACUTA ABAJ,VIVIAN PAOLA XICAY SUY,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,DOBLE,DIARIO(REGULAR),CHIMALTENANGO
04-01-0264-46,,04-002,CHIMALTENANGO,CHIMALTENANGO,COLEGIO GABRIEL G&R,3A. AVENIDA 2-143 ZONA 7 BUENA VISTA NORTE,41409698,EDNA NOHELIA PɒEZ TOJ DE LӐEZ,RUBɎ ANTONIO GӍEZ PATZAN,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,DOBLE,A DISTANCIA,CHIMALTENANGO
04-01-0266-46,,04-002,CHIMALTENANGO,CHIMALTENANGO,COLEGIO GABRIEL G&R,3A. AVENIDA 2-143 ZONA 7 BUENA VISTA NORTE,41409698,EDNA NOHELIA PɒEZ TOJ DE LӐEZ,RUBɎ ANTONIO GӍEZ PATZAN,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,DOBLE,A DISTANCIA,CHIMALTENANGO
04-01-0268-46,,04-002,CHIMALTENANGO,CHIMALTENANGO,CENTRO EDUCATIVO MONTE CRISTO,"CASER͏ MONTE CRISTO, ALDEA SAN MARCOS PACOC",39057949,EDNA NOHELIA PɒEZ TOJ DE LӐEZ,MAŔ MICAELA ZAMORA ABAJ,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),CHIMALTENANGO
04-01-0271-46,,04-029,CHIMALTENANGO,CHIMALTENANGO,CENTRO DE EDUCACIӎ EXTRAESCOLAR MI ESPECIAL TESORO,8A. AVENIDA 1-63 ZONA 6 COLONIA LOS ANONALES,78397564,MARCO TULIO AJQUEJAY PICHIYA,VANESSA KARINA LӐEZ ALVAREZ,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,DOBLE,SEMIPRESENCIAL,CHIMALTENANGO
04-01-0277-46,,04-001,CHIMALTENANGO,CHIMALTENANGO,COLEGIO ROBINSON,1A. CALLE 7-206 ZONA 3,78404913,ABIMAEL ACUTA ABAJ,ZUCELLY ANGEANETTE SALAZAR ANLEU,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),CHIMALTENANGO
04-01-0280-46,,04-020,CHIMALTENANGO,CHIMALTENANGO,"INSTITUTO DE EDUCACIӎ MEDIA ""LA ESPERANZA""","DIAGONAL 6, 6-32 COLONIA LA ESPERANZA ZONA 6",55127405,MARILENA HERNNDEZ CABRERA,HILDA GRISELDA VASQUEZ GUTIERREZ,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,VESPERTINA,DIARIO(REGULAR),CHIMALTENANGO
04-01-0287-46,,04-003,CHIMALTENANGO,CHIMALTENANGO,COLEGIO DEL FUTURO,KM. 2.5 CARRETERA A SAN MARTIN JILOTEPEQUE,41386224,EDNA NOHELIA PɒEZ TOJ DE LӐEZ,ANA LIDIA BATZ XICAY,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,DOBLE,A DISTANCIA,CHIMALTENANGO
04-01-0288-46,,04-003,CHIMALTENANGO,CHIMALTENANGO,COLEGIO DEL FUTURO,KM. 2.5 CARRETERA A SAN MART͎ JILOTEPEQUE,41386224,EDNA NOHELIA PɒEZ TOJ DE LӐEZ,ANA LIDIA BATZ XICAY,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,DOBLE,SEMIPRESENCIAL,CHIMALTENANGO
04-01-0300-46,,04-001,CHIMALTENANGO,CHIMALTENANGO,CENTRO EDUCATIVO LA ESCUELA EN SU CASA CHIMALTENANGO,5A. AVENIDA 1-45 ZONA 4,78391189,ABIMAEL ACUTA ABAJ,VANY MAGDAI MORALES HERNANDEZ,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,DOBLE,FIN DE SEMANA,CHIMALTENANGO
04-01-0301-46,,04-001,CHIMALTENANGO,CHIMALTENANGO,CENTRO EDUCATIVO LA ESCUELA EN SU CASA CHIMALTENANGO,5A. AVENIDA 1-45 ZONA 4,78391189,ABIMAEL ACUTA ABAJ,VANY MAGDAI MORALES HERNANDEZ,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,DOBLE,FIN DE SEMANA,CHIMALTENANGO
04-01-0303-46,,04-028,CHIMALTENANGO,CHIMALTENANGO,LICEO EN CIENCIA Y TECNOLOǴ DE OCCIDENTE,6A. AVENIDA 8-94 ZONA 1,45097231,ISMAEL CRISTAL AJCET,SANDRA NOEMI ORTIZ ESTRADA,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,DOBLE,SEMIPRESENCIAL,CHIMALTENANGO
04-01-0304-46,,04-028,CHIMALTENANGO,CHIMALTENANGO,"ESCUELA NORMAL BILING܅ INTERCULTURAL ""RUK'U'X WAQXAQI' Q'ANIL"" (ESENCIA DE LAS OCHO SEMILLAS)",1A. AVENIDA 1-251 LA ALAMEDA ZONA 9,78394039,ISMAEL CRISTAL AJCET,ELADIO MIZA CHALͼ/td>,DIVERSIFICADO,OFICIAL,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),CHIMALTENANGO
04-01-0305-46,,04-029,CHIMALTENANGO,CHIMALTENANGO,"PROGRAMA NACIONAL DE EDUCACIӎ ALTERNATIVA, PRONEA",1A. CALLE 5-78 ZONA 3,77909200,MARCO TULIO AJQUEJAY PICHIYA,MARCO TULIO AJQUEJAY PICHIYA,DIVERSIFICADO,OFICIAL,URBANA,ABIERTA,MONOLINGUE,DOBLE,A DISTANCIA,CHIMALTENANGO
04-01-0306-46,,04-029,CHIMALTENANGO,CHIMALTENANGO,CENTRO DE EDUCACIӎ EXTRAESCOLAR -CEEX- DEPARTAMENTAL,1A. CALLE 5-78 ZONA 3,77909200,MARCO TULIO AJQUEJAY PICHIYA,FRANCISCO TUYUC BAL,DIVERSIFICADO,OFICIAL,URBANA,ABIERTA,MONOLINGUE,DOBLE,A DISTANCIA,CHIMALTENANGO
04-01-0312-46,,04-020,CHIMALTENANGO,CHIMALTENANGO,INSTITUTO EVANGɌICO AMɒICA LATINA,6TA AVENIDA 3-48 ZONA 5,77282600,MARILENA HERNNDEZ CABRERA,AXEL EDUARDO ESTRADA CHVEZ,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,DOBLE,VIRTUAL A DISTANCIA,CHIMALTENANGO
04-01-0314-46,,04-002,CHIMALTENANGO,CHIMALTENANGO,"COLEGIO CRISTIANO ""AGUA DE VIDA""","15 AVENIDA1-30 LA PEDRERA, ALDEA BUENA VISTA, ZONA 8 03/",57881264,EDNA NOHELIA PɒEZ TOJ DE LӐEZ,HEIDY CLARA CHIS MARTINEZ,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,VESPERTINA,DIARIO(REGULAR),CHIMALTENANGO
04-01-0318-46,,04-002,CHIMALTENANGO,CHIMALTENANGO,CENTRO DE ESTUDIOS INTEGRADOS CEI,"1A. CALLE PASAJE 6-106 CASA ""I"", ALDEA BUENA VISTA, ZONA 8",78739560,EDNA NOHELIA PɒEZ TOJ DE LӐEZ,ALEJANDRO ISRAEL RIVAS RAMIREZ,DIVERSIFICADO,PRIVADO,RURAL,ABIERTA,MONOLINGUE,SIN JORNADA,SEMIPRESENCIAL (DOS D́S A LA SEMANA),CHIMALTENANGO
04-01-0319-46,,04-001,CHIMALTENANGO,CHIMALTENANGO,LICEO CRISTIANO HISPANOAMERICANO,3RA AVENIDA 1-64 ZONA 2,78395647,ABIMAEL ACUTA ABAJ,VIVIAN PAOLA XICAY SUY,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,DOBLE,SEMIPRESENCIAL,CHIMALTENANGO
04-01-0326-46,,04-001,CHIMALTENANGO,CHIMALTENANGO,"COLEGIO CRISTIANO INTERNACIONAL MISIONERO ""LOS ROBLES""",1A. CALLE 14-724 ZONA 6,47085296,ABIMAEL ACUTA ABAJ,BLANCA NIEVES PORRAS PINEDA,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,DOBLE,VIRTUAL A DISTANCIA,CHIMALTENANGO
04-01-0330-46,,04-002,CHIMALTENANGO,CHIMALTENANGO,"CENTRO DE ESTUDIOS INTEGRADOS ""CEI""","1RA CALLE PASAJE 6-106 CASA ""I"", BUENA VISTA SUR, ZONA 8",78739560,EDNA NOHELIA PɒEZ TOJ DE LӐEZ,ALEJANDRO ISRAEL RIVAS RAMIREZ,DIVERSIFICADO,PRIVADO,RURAL,ABIERTA,MONOLINGUE,DOBLE,FIN DE SEMANA,CHIMALTENANGO
